iter	Passed	Remaining
0	1	352
1	3	303
2	4	290
3	6	298
4	7	298
5	8	287
6	10	281
7	11	274
8	12	270
9	13	265
10	15	262
11	16	261
12	17	258
13	19	255
14	20	252
15	21	249
16	22	247
17	24	252
18	26	251
19	27	249
20	28	246
21	30	244
22	31	242
23	32	240
24	33	237
25	35	235
26	36	233
27	37	231
28	38	229
29	40	227
30	41	226
31	42	224
32	44	223
33	45	221
34	46	220
35	48	218
36	49	216
37	50	215
38	51	213
39	53	212
40	54	210
41	55	208
42	56	207
43	58	205
44	59	204
45	60	202
46	61	201
47	62	199
48	64	198
49	65	196
50	66	195
51	68	193
52	69	192
53	70	191
54	71	189
55	73	188
56	74	186
57	75	185
58	76	183
59	78	182
60	79	180
61	80	179
62	81	177
63	83	176
64	84	175
65	85	174
66	87	173
67	88	171
68	89	170
69	90	168
70	92	167
71	93	166
72	94	164
73	95	163
74	97	162
75	98	161
76	100	160
77	101	158
78	102	157
79	104	156
80	105	154
81	106	153
82	107	151
83	109	150
84	110	149
85	111	147
86	113	146
87	114	145
88	115	144
89	116	142
90	118	141
91	119	140
92	120	139
93	122	137
94	123	136
95	124	135
96	125	133
97	127	132
98	128	131
99	129	129
100	131	128
101	132	127
102	134	126
103	135	124
104	136	123
105	138	122
106	139	121
107	140	119
108	141	118
109	143	117
110	144	115
111	145	114
112	147	113
113	148	111
114	149	110
115	150	109
116	152	107
117	153	106
118	154	105
119	155	103
120	157	102
121	158	101
122	159	100
123	160	98
124	162	97
125	163	96
126	164	94
127	165	93
128	167	92
129	168	90
130	169	89
131	171	88
132	172	86
133	173	85
134	174	84
135	176	82
136	177	81
137	179	80
138	180	79
139	181	77
140	183	76
141	184	75
142	185	73
143	186	72
144	188	71
145	189	70
146	190	68
147	191	67
148	193	66
149	194	64
150	195	63
151	196	62
152	198	60
153	199	59
154	200	58
155	201	56
156	203	55
157	204	54
158	205	53
159	207	51
160	208	50
161	209	49
162	210	47
163	212	46
164	213	45
165	214	43
166	215	42
167	217	41
168	218	40
169	220	38
170	221	37
171	222	36
172	224	35
173	226	33
174	227	32
175	229	31
176	230	29
177	231	28
178	233	27
179	234	26
180	236	24
181	238	23
182	239	22
183	241	20
184	242	19
185	244	18
186	245	17
187	246	15
188	248	14
189	249	13
190	250	11
191	252	10
192	253	9
193	254	7
194	255	6
195	257	5
196	258	3
197	259	2
198	261	1
199	262	0
